"","Fund_Id","VC_Specialized"
"1",11,0
"2",33,0
"3",3490,0
"4",9293,0
"5",45,1
"6",52,0
"7",54,0
"8",55,0
"9",56,0
"10",58,0
"11",67,1
"12",12158,1
"13",49884,1
"14",75,0
"15",76,0
"16",8344,0
"17",128,0
"18",130,1
"19",131,1
"20",136,1
"21",137,0
"22",138,1
"23",139,1
"24",140,1
"25",2225,0
"26",8064,0
"27",142,1
"28",143,1
"29",144,1
"30",145,1
"31",150,0
"32",2125,0
"33",163,0
"34",174,0
"35",166,0
"36",190,1
"37",192,1
"38",7126,1
"39",203,0
"40",3396,0
"41",10948,0
"42",47716,1
"43",210,1
"44",216,0
"45",223,1
"46",5626,1
"47",15305,1
"48",3669,1
"49",236,0
"50",237,0
"51",238,0
"52",239,0
"53",240,0
"54",5429,0
"55",12918,0
"56",255,0
"57",278,0
"58",279,0
"59",4568,0
"60",10357,0
"61",16663,0
"62",36829,0
"63",281,1
"64",6002,1
"65",302,0
"66",325,0
"67",326,0
"68",327,0
"69",328,0
"70",334,0
"71",335,0
"72",345,0
"73",350,0
"74",352,0
"75",353,0
"76",382,0
"77",8063,0
"78",16813,0
"79",42518,0
"80",55356,0
"81",402,1
"82",403,1
"83",8448,1
"84",417,0
"85",2093,0
"86",8679,0
"87",5947,0
"88",13168,1
"89",420,1
"90",435,0
"91",437,0
"92",476,0
"93",493,0
"94",508,1
"95",509,1
"96",4341,1
"97",525,0
"98",526,0
"99",6923,0
"100",17945,0
"101",549,0
"102",550,0
"103",552,0
"104",559,0
"105",560,0
"106",561,0
"107",568,1
"108",629,0
"109",639,1
"110",15257,1
"111",44342,1
"112",657,1
"113",658,1
"114",659,1
"115",660,1
"116",677,0
"117",680,0
"118",694,0
"119",695,0
"120",2139,0
"121",4022,0
"122",721,0
"123",1479,0
"124",10319,0
"125",748,0
"126",772,0
"127",3478,0
"128",793,0
"129",802,1
"130",803,0
"131",804,0
"132",5385,0
"133",11015,0
"134",29325,0
"135",57413,0
"136",824,0
"137",3347,0
"138",9727,0
"139",843,0
"140",867,0
"141",1071,0
"142",8279,0
"143",917,0
"144",990,1
"145",991,1
"146",6718,1
"147",10312,0
"148",16511,0
"149",36770,0
"150",992,0
"151",11195,0
"152",1010,0
"153",1021,0
"154",5557,0
"155",1036,1
"156",1039,0
"157",1043,1
"158",1044,1
"159",1045,1
"160",3586,1
"161",9957,1
"162",20428,1
"163",30573,1
"164",52994,1
"165",1051,1
"166",2071,1
"167",7882,1
"168",1053,0
"169",1054,0
"170",1055,0
"171",1056,0
"172",1057,1
"173",2647,0
"174",3735,0
"175",4563,1
"176",1075,1
"177",1077,0
"178",1107,1
"179",1130,0
"180",1131,0
"181",1135,0
"182",1171,1
"183",1173,0
"184",1240,0
"185",1241,0
"186",1242,0
"187",1243,0
"188",1245,1
"189",1246,1
"190",1247,1
"191",1249,1
"192",14146,1
"193",31727,1
"194",1256,0
"195",1257,0
"196",7614,0
"197",1265,0
"198",1267,0
"199",1268,0
"200",1269,0
"201",1270,0
"202",5844,0
"203",21020,0
"204",47411,0
"205",1283,0
"206",1284,0
"207",1298,1
"208",1303,1
"209",1325,0
"210",1326,0
"211",5268,0
"212",1328,0
"213",1329,0
"214",1330,0
"215",1331,0
"216",2133,0
"217",5870,0
"218",13721,0
"219",1349,1
"220",1350,1
"221",1352,1
"222",1354,1
"223",1356,1
"224",7510,0
"225",30864,0
"226",48357,0
